DateTime,Entries,UniqueIPs
1530082836,2621,2661
1530086433,2622,2662
1530089435,2613,2653
1530093636,2612,2652
1530097234,2609,2649
1530100835,2621,2661
1530104434,2616,2657
1530107435,2621,2662
1530111636,2617,2658
1530118236,2612,2653
1530125434,2613,2654
1530129036,2615,2656
1530132635,2616,2657
1530139834,2616,2657
1530143435,2610,2651
1530150633,2618,2658
1530154235,2621,2661
1530157833,2625,2666
1530162035,2623,2664
1530165634,2628,2669
1530169236,2629,2670
1530172833,2623,2664
1530175836,2626,2667
1530179434,2625,2666
1530183035,2623,2664
1530190234,2615,2656
1530193836,2616,2657
1530197433,2610,2651
1530201035,2606,2648
1530204633,2600,2642
1530208236,2609,2651
1530212436,2619,2660
1530216034,2643,2684
1530220236,2630,2671
1530225635,2632,2673
1530228633,2628,2669
1530232235,2626,2667
1530235233,2626,2667
1530238834,2625,2666
1530242434,2633,2674
1530249633,2631,2672
1530257434,2626,2667
1530261035,2629,2670
1530264634,2629,2670
1530268235,2627,2668
1530271834,2627,2669
1530274835,2626,2668
1530282035,2632,2674
1530285634,2636,2678
1530289235,2641,2683
1530297037,2641,2683
1530300634,2644,2687
1530304236,2646,2689
1530307834,2642,2685
1530312037,2637,2680
1530317436,2645,2688
1530319833,2649,2692
1530324036,2642,2684
1530327633,2633,2675
1530331235,2634,2676
1530334833,2629,2671
1530337836,2626,2668
1530342037,2607,2648
1530345634,2608,2649
1530348635,2610,2651
1530352836,2612,2652
1530360036,2604,2643
1530363633,2600,2639
1530366635,2594,2633
1530370234,2595,2634
1530373836,2598,2637
1530378036,2602,2641
1530381634,2608,2647
1530385236,2609,2648
1530388834,2610,2649
1530392436,2606,2645
1530396636,2602,2641
1530401435,2608,2647
1530405034,2610,2649
1530409235,2608,2647
1530412833,2612,2651
1530415837,2610,2649
1530418832,2612,2651
1530422435,2611,2650
1530426033,2618,2657
1530430836,2614,2653
1530434436,2620,2659
1530438636,2612,2649
1530442837,2616,2653
1530446435,2667,2704
1530450037,2843,2882
1530453635,2846,2885
1530457837,2869,2908
1530461436,2877,2916
1530464437,2868,2907
1530468035,2870,2909
1530471637,2874,2913
1530478835,2861,2899
1530482438,2856,2894
1530485434,2857,2895
1530489637,2855,2892
1530493837,2867,2904
1530499238,2871,2908
1530504036,2860,2897
1530508237,2858,2895
1530511836,2859,2896
1530517236,2857,2894
1530520235,2855,2892
1530523838,2860,2897
1530526834,2862,2898
1530531036,2861,2897
1530534635,2865,2901
1530539437,2860,2896
1530543639,2868,2904
1530547234,2880,2916
1530552036,2882,2918
1530556836,2881,2917
1530562235,2884,2920
1530565834,2890,2926
1530568847,2878,2914
1530572434,2885,2921
1530576036,2893,2929
1530580236,2889,2925
1530585036,2883,2919
1530589236,2921,2957
1530594636,2928,2964
1530597634,2926,2962
1530601236,2930,2966
1530604834,2924,2959
1530612034,2912,2947
1530616240,2900,2933
1530621036,2894,2926
1530625235,2903,2935
1530630639,2894,2926
1530635436,2898,2929
1530639034,2904,2935
1530643236,2905,2936
1530648036,2906,2938
1530651635,2908,2940
1530655237,2911,2943
1530658834,2913,2945
1530666034,2910,2942
1530669636,2913,2945
1530676833,2914,2946
1530680437,2918,2950
1530684636,2925,2958
1530690036,2938,2971
1530695434,2946,2979
1530700834,2942,2976
1530706234,2950,2984
1530709833,2953,2988
1530715233,2954,2989
1530720034,2956,2991
1530724235,2963,2998
1530729634,2967,3002
1530735034,2969,3004
1530739834,2959,2994
1530747033,2959,2994
1530750633,2946,2981
1530754833,2942,2977
1530760234,2939,2974
1530765633,2939,2974
1530769833,2933,2967
1530774633,2933,2967
1530777633,2934,2968
1530781834,2929,2963
1530787834,2928,2963
1530792634,2927,2962
1530798034,2924,2959
1530803434,2926,2961
1530808233,2927,2962
1530811833,2931,2966
1530815434,2935,2970
1530819033,2936,2971
1530822634,2939,2974
1530829833,2947,2983
1530833433,2951,2987
1530840632,2957,2994
1530844834,2957,2994
1530848433,2967,3004
1530853834,2960,2997
1530859233,2965,3003
1530864633,2969,3007
1530868233,2971,3009
1530873035,2961,2999
1530880234,2958,2996
1530884433,2957,2994
1530888033,2963,3002
1530891634,2964,3003
1530896434,2959,2998
1530900634,2958,2997
1530906034,2960,2999
1530909033,2960,2999
1530912635,2956,2995
1530919833,2960,2999
1530924033,2957,2996
1530927633,2960,2999
1530933634,2962,3001
1530941432,2960,3000
1530945637,2966,3006
1530949232,2970,3011
1530954034,2968,3009
1530958234,2967,3008
1530963634,2969,3010
1530969033,2971,3012
1530974434,2973,3014
1530978033,2977,3019
1530982834,2980,3022
1530986433,2976,3018
1530990035,2973,3015
1530993634,2974,3016
1530997234,2973,3015
1531005032,2980,3022
1531009834,3083,3125
1531013433,3090,3132
1531017633,3089,3131
1531023034,3087,3129
1531028434,3086,3128
1531032034,3084,3126
1531036834,3077,3119
1531040433,3078,3120
1531044035,3083,3125
1531047634,3082,3124
1531051234,3081,3123
1531058460,3075,3116
1531062034,3088,3129
1531065633,3087,3128
1531069235,4198,4257
1531076438,5229,5294
1531085437,5434,5502
1531094437,5499,5568
1531104037,5517,5587
1531114238,6622,6704
1531128657,6848,6931
1531143637,6905,6989
1531157437,6927,7011
1531168839,6963,7047
1531181437,6981,7067
1531195837,6985,7071
1531209637,7228,7319
1531222237,7263,7354
1531233636,7288,7381
1531245037,7475,7569
1531255837,7656,7754
1531266636,7722,7821
1531279236,7738,7837
1531291236,7741,7840
1531304436,7739,7838
1531315236,7732,7831
1531326637,7734,7833
1531335636,7772,7872
1531345236,7847,7947
1531356037,7866,7966
1531368635,7875,7976
1531381236,7934,8036
1531392036,7992,8094
1531403437,8003,8105
1531413636,8010,8112
1531424437,8031,8133
1531434036,8027,8129
1531443036,8027,8129
1531454435,8002,8099
1531464636,8006,8104
1531475435,8017,8116
1531486235,8022,8121
1531496436,8027,8125
1531506036,8110,8209
1531515637,8137,8236
1531524635,8178,8281
1531534235,8178,8281
1531546835,8175,8277
1531557635,8177,8279
1531567836,8177,8280
1531577436,8168,8271
1531585852,8166,8269
1531594911,8167,8270
1531604436,8164,8266
1531612836,8176,8278
1531623635,8180,8282
1531633835,8186,8288
1531642835,8190,8292
1531651836,8202,8306
1531661436,8221,8324
1531670435,8219,8322
1531679436,8159,8261
1531689035,8162,8264
1531698035,8129,8231
1531707635,8101,8203
1531717835,8069,8171
1531728035,7948,8049
