DateTime,AddedIPs,RemovedIPs
1530405001,80,2632
1530408602,168,0
1530412202,192,0
1530415801,205,0
1530419401,200,0
1530423001,186,0
1530426602,151,0
1530430202,153,0
1530433801,139,0
1530437402,132,0
1530441002,95,0
1530444602,118,0
1530448202,98,0
1530451801,93,0
1530455401,100,0
1530459002,100,0
1530462602,120,0
1530466201,116,0
1530469802,98,0
1530473402,118,0
1530477001,82,0
1530480602,113,0
1530484202,96,0
1530487802,78,0
1530491402,77,2275
1530495002,102,0
1530498601,82,0
1530502202,89,0
1530505801,116,0
1530509402,91,0
1530513002,107,0
1530516601,168,0
1530520202,155,0
1530523801,95,0
1530527401,143,0
1530531002,196,0
1530534601,129,0
1530538202,100,0
1530541801,97,0
1530545402,99,0
1530549002,94,0
1530552602,92,0
1530556202,101,0
1530559802,87,0
1530564302,460,0
1530567902,327,0
1530571502,252,0
1530575102,158,0
1530578702,146,3096
1530582302,131,0
1530585902,100,0
1530589502,108,0
1530593102,89,0
1530596702,114,0
1530600302,121,0
1530603902,158,1
1530607502,168,0
1530611102,140,0
1530614701,128,0
1530618302,184,0
1530621902,259,0
1530625502,119,0
1530629102,132,0
1530632702,106,0
1530636302,120,0
1530639902,118,0
1530643501,136,0
1530647102,113,0
1530650702,107,0
1530654302,98,0
1530657902,85,0
1530661502,94,0
1530665102,95,3345
1530668702,104,0
1530672302,120,0
1530675902,101,0
1530679502,116,0
1530683102,135,0
1530686702,152,0
1530690302,154,0
1530693902,138,0
1530697502,162,0
1530701101,140,0
1530704701,130,0
1530708301,163,0
1530711902,354,0
1530715501,105,0
1530719102,207,0
1530722702,96,0
1530727202,145,0
1530730802,119,0
1530734402,113,0
1530738002,99,0
1530741602,117,0
1530745202,127,0
1530748802,111,3055
1530752401,114,0
1530756002,133,0
1530759603,101,0
1530763201,103,0
1530766802,107,0
1530770402,147,0
1530774002,149,0
1530777603,149,0
1530781202,140,0
1530784802,148,0
1530788402,160,0
1530792002,144,0
1530795602,139,0
1530799202,140,0
1530802802,129,0
1530806402,128,0
1530810002,98,0
1530813602,120,0
1530817202,120,1
1530820802,114,0
1530824402,94,0
1530828002,111,0
1530831602,118,0
1530835202,91,3174
1530838802,117,0
1530842402,100,0
1530846002,131,0
1530849602,107,0
1530853202,100,0
1530856802,178,0
1530860402,149,0
1530864002,127,0
1530867602,142,0
1530871202,137,0
1530874802,131,0
1530878402,146,0
1530882002,150,0
1530885602,136,0
1530889201,92,0
1530892802,110,0
1530896402,118,0
1530900002,108,0
1530903601,125,0
1530907202,102,0
1530910802,121,0
1530914403,106,0
1530918002,100,0
1530921603,76,2994
1530925202,115,0
1530928802,105,0
1530932402,106,0
1530936002,118,0
1530939601,87,0
1530943202,116,0
1530946802,134,0
1530950402,134,0
1530954002,170,0
1530957602,167,0
1530961202,127,0
1530964802,151,0
1530968402,140,0
1530972002,129,0
1530975602,122,0
1530979202,126,0
1530982802,114,0
1530986402,112,0
1530990002,136,0
1530993602,105,0
1530997202,129,0
1531000802,120,0
1531005301,141,0
1531008902,103,2931
1531012502,105,0
1531016102,97,0
1531019701,88,0
1531023302,89,0
1531026902,93,0
1531030502,96,0
1531034101,130,0
1531037702,126,0
1531041302,122,0
1531044902,175,0
1531048502,105,0
1531052102,141,0
1531055702,106,0
1531059301,153,0
1531062902,133,0
1531066502,105,0
1531070102,114,0
1531073702,136,0
1531077302,121,0
1531080902,135,0
1531084502,86,0
1531088102,92,0
1531091702,96,1
1531095302,81,2931
1531098902,108,0
1531102502,128,0
1531106102,119,0
1531109701,121,0
1531113302,157,0
1531116902,184,0
1531120502,144,0
1531124102,224,0
1531127702,161,0
1531131302,153,0
1531134902,154,0
1531138502,192,0
1531142102,155,0
1531145701,134,0
1531149302,166,0
1531152902,121,0
1531156501,150,0
1531160102,114,0
1531163702,134,0
1531167302,146,0
1531170902,291,0
1531174502,319,0
1531178102,228,0
1531181703,145,2715
1531185302,191,0
1531188901,134,0
1531192502,145,0
1531196102,127,0
1531199702,117,0
1531203302,137,0
1531206901,141,0
1531210502,151,0
1531214102,151,0
1531217702,158,0
1531221302,212,0
1531224902,195,0
1531228502,160,0
1531232102,143,0
1531235702,172,0
1531239302,100,0
1531242902,114,0
1531246502,134,0
1531250102,145,0
1531253702,144,0
1531257302,109,0
1531260901,115,0
1531264502,115,0
1531268102,104,3890
1531271702,100,0
1531275302,115,0
1531278902,124,0
1531282502,120,0
1531286102,271,0
1531289702,193,0
1531293302,188,0
1531296902,169,0
1531300502,243,0
1531304102,306,0
1531307701,233,0
1531311302,357,0
1531314902,275,0
1531318502,222,0
1531322101,189,0
1531325702,161,1
1531329302,150,0
1531332902,159,0
1531336502,129,0
1531340102,124,0
1531343702,99,0
1531347302,140,0
1531350901,81,0
1531354502,108,3453
1531358102,100,2
1531361702,116,1
1531365302,95,0
1531368902,117,0
1531372502,126,0
1531376102,139,0
1531379702,150,0
1531383301,169,0
1531386902,169,0
1531390502,173,0
1531394102,169,0
1531397702,163,0
1531401302,222,0
1531404902,119,0
1531408501,141,0
1531412103,134,0
1531415702,115,0
1531419302,100,0
1531422902,105,0
1531426502,125,0
1531430102,120,0
1531434602,172,0
1531438202,119,0
1531441802,134,4313
1531445401,123,0
1531449002,107,0
1531452601,118,0
1531456202,131,0
1531459801,112,0
1531463402,143,0
1531467002,155,0
1531470601,271,0
1531474201,134,0
1531477802,153,0
1531481402,168,0
1531485002,135,0
1531488602,190,0
1531492202,143,0
1531495802,122,0
1531499402,125,0
1531503002,120,0
1531506602,115,0
1531510201,110,0
1531513801,114,0
1531517402,92,0
1531521002,324,0
1531524602,432,0
1531528202,277,3371
1531531802,219,0
1531535402,148,0
1531539002,119,0
1531542601,121,0
1531546201,141,0
1531549802,118,0
1531553402,145,0
1531557001,225,0
1531560602,170,0
1531564202,142,0
1531567802,123,0
1531571402,144,0
1531575002,108,1
1531578602,105,0
1531582202,103,0
1531585802,171,0
1531589402,97,0
1531593002,96,0
1531596601,104,0
1531600202,104,0
1531603802,110,0
1531607402,104,0
1531611001,75,0
1531614602,79,3845
1531618201,112,0
1531621802,118,0
1531625402,101,0
1531629001,86,0
1531632602,99,0
1531636201,114,0
1531639802,101,0
1531643402,122,0
1531647002,124,0
1531650602,162,0
1531654202,100,0
1531657801,96,0
1531661402,125,0
1531665002,121,0
1531668602,154,0
1531672202,149,0
1531675802,147,0
1531679402,128,0
1531683002,101,0
1531686601,84,0
1531690202,180,0
1531693801,82,0
1531697402,97,0
1531701002,88,3058
1531704601,123,0
1531708201,121,0
1531711802,124,0
1531715402,167,0
1531719001,252,0
1531722601,204,0
1531726202,258,0
1531729802,174,0
1531733402,156,0
